
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA;;UNO
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2025-08-20;80.126,71;6708856160990;83.509,16;7773523603554;85.503,51;10018347045880;81.388,23;2733435323913;77.992,47;1718682083247;83.023,81;5400390514991;84.449,12;615760025259
2025-08-21;80.053,93;6707779891689;83.445,01;7769926886948;85.420,75;10010408546927;81.316,60;2732465322236;77.960,50;1718961661572;82.935,38;5395271783636;84.351,32;615234508575
2025-08-22;80.123,66;6720097479299;83.515,04;7782787204724;85.528,11;10032232720326;81.364,40;2736458199560;78.041,18;1721425135423;83.017,54;5401733711478;84.454,60;616588527978
2025-08-23;80.123,66;6720097479299;83.515,04;7782787204724;85.528,11;10032232720326;81.364,40;2736458199560;78.041,18;1721425135423;83.017,54;5401733711478;84.454,60;616588527978
2025-08-24;80.123,66;6720097479299;83.515,04;7782787204724;85.528,11;10032232720326;81.364,40;2736458199560;78.041,18;1721425135423;83.017,54;5401733711478;84.454,60;616588527978
2025-08-25;81.016,50;6802990464031;84.436,82;7872135846830;86.481,43;10148420981358;82.322,48;2769359282697;78.901,94;1740768089822;83.931,57;5461623217493;85.433,32;623777654837
2025-08-26;80.900,82;6798659809075;84.343,35;7865988504628;86.351,37;10135839481428;82.200,16;2765866909308;78.819,12;1739642240096;83.811,84;5454627927780;85.270,51;623074720222
2025-08-27;81.069,82;6816473076895;84.581,83;7893633783773;86.536,81;10160322421039;82.362,84;2771684020260;78.975,75;1744091053175;84.009,87;5466967409265;85.456,65;624913378967
2025-08-28;81.403,61;6851968136864;84.920,68;7927868549603;86.928,71;10209007151641;82.716,00;2784312962757;79.309,11;1752040159201;84.347,76;5489622061374;85.852,95;628063087731
2025-08-29;81.705,58;6860749760899;85.233,54;7933903319020;87.225,15;10214087195753;83.039,39;2792334020054;79.605,25;1756375391084;84.652,68;5492641471928;86.139,65;630448043745
2025-08-30;81.705,58;6860749760899;85.233,54;7933903319020;87.225,15;10214087195753;83.039,39;2792334020054;79.605,25;1756375391084;84.652,68;5492641471928;86.139,65;630448043745
2025-08-31;81.705,58;6860749760899;85.233,54;7933903319020;87.225,15;10214087195753;83.039,39;2792334020054;79.605,25;1756375391084;84.652,68;5492641471928;86.139,65;630448043745
2025-09-01;81.436,83;6855410373519;84.978,92;7915827114970;86.949,41;10186471094527;82.769,16;2784780536897;79.334,44;1753289831348;84.417,74;5465820943437;85.829,25;633265301326
2025-09-02;81.710,31;6883437896126;85.256,69;7945444345489;87.247,32;10229853492166;83.036,41;2795823935815;79.599,82;1760295133174;84.701,32;5485226857333;86.102,94;635872953070
2025-09-03;81.532,58;6872949727609;85.059,93;7931367671997;87.048,89;10211261674605;82.782,61;2788834454891;79.381,35;1758618909243;84.510,14;5473442127963;85.927,45;635098535796
2025-09-04;81.683,09;6888343521053;85.192,75;7943171889091;87.175,46;10228650433603;82.993,49;2796769435482;79.509,66;1762058365767;84.635,48;5481725046148;86.008,45;636085087409
2025-09-05;82.211,98;6936407604946;85.738,58;7997116213708;87.745,51;10299021339132;83.548,42;2816878568410;80.053,55;1775082520212;85.206,69;5519503294408;86.621,70;640969339884
2025-09-06;82.211,98;6936407604946;85.738,58;7997116213708;87.745,51;10299021339132;83.548,42;2816878568410;80.053,55;1775082520212;85.206,69;5519503294408;86.621,70;640969339884
2025-09-07;82.211,98;6936407604946;85.738,58;7997116213708;87.745,51;10299021339132;83.548,42;2816878568410;80.053,55;1775082520212;85.206,69;5519503294408;86.621,70;640969339884
2025-09-08;82.485,00;6962344311296;86.029,34;8021330096983;88.010,68;10330182239370;83.900,62;2829170953721;80.341,30;1781597664404;85.482,29;5537306603779;86.846,66;642900422728
2025-09-09;82.700,03;6982033815179;86.211,13;8039973934220;88.204,73;10353755408694;84.105,33;2837023407540;80.537,62;1786353153994;85.658,28;5548916512415;87.078,71;644682842542
2025-09-10;82.546,33;6972219615241;86.040,43;8027989431992;88.022,86;10336489813166;83.937,09;2832986795592;80.390,42;1784000612550;85.492,91;5539598179998;86.930,20;644133193512
2025-09-11;82.636,23;6982346648097;86.114,17;8036438190571;88.105,28;10350397664461;84.039,76;2837925793365;80.490,47;1786608506622;85.561,28;5544932565621;87.037,33;645364873763
2025-09-12;82.928,35;7012759803359;86.419,62;8070468085357;88.363,20;10391365096285;84.357,30;2851765786909;80.758,35;1794509063931;85.863,34;5567355172917;87.323,14;648143232089
2025-09-13;82.928,35;7012759803359;86.419,62;8070468085357;88.363,20;10391365096285;84.357,30;2851765786909;80.758,35;1794509063931;85.863,34;5567355172917;87.323,14;648143232089
2025-09-14;82.928,35;7012759803359;86.419,62;8070468085357;88.363,20;10391365096285;84.357,30;2851765786909;80.758,35;1794509063931;85.863,34;5567355172917;87.323,14;648143232089
2025-09-15;82.617,09;7027076104895;86.078,01;8044319811166;88.043,53;10367265857724;83.979,52;2840581995831;80.472,50;1797774915050;85.551,54;5533696023145;87.015,76;650976980048
2025-09-16;82.809,60;7052193049384;86.254,67;8067321463190;88.176,72;10391763297273;84.172,91;2851038894179;80.605,40;1801544938670;85.698,40;5550263826559;87.215,01;654339171957
2025-09-17;82.746,83;7056354768412;86.182,07;8071418833230;88.111,28;10397841005723;84.120,47;2853796627597;80.567,37;1805759649693;85.647,00;5552205246894;87.135,38;655327651870
2025-09-18;82.746,83;7056354768412;86.182,07;8071418833230;88.111,28;10397841005723;84.120,47;2853796627597;80.567,37;1805759649693;85.647,00;5552205246894;87.135,38;655327651870
2025-09-19;82.746,83;7056354768412;86.182,07;8071418833230;88.111,28;10397841005723;84.120,47;2853796627597;80.567,37;1805759649693;85.647,00;5552205246894;87.135,38;655327651870
2025-09-20;82.746,83;7056354768412;86.182,07;8071418833230;88.111,28;10397841005723;84.120,47;2853796627597;80.567,37;1805759649693;85.647,00;5552205246894;87.135,38;655327651870
2025-09-21;82.746,83;7056354768412;86.182,07;8071418833230;88.111,28;10397841005723;84.120,47;2853796627597;80.567,37;1805759649693;85.647,00;5552205246894;87.135,38;655327651870
2025-09-22;83.047,52;7089549461797;86.535,07;8110862635217;88.410,39;10443138026480;84.409,31;2867505277403;80.865,28;1814886111725;85.957,01;5574687465300;87.479,68;659533286347
2025-09-23;83.108,94;7099244374578;86.598,07;8121321639362;88.587,27;10467628386568;84.443,99;2870349754753;80.905,50;1816494363157;86.065,04;5586116019528;87.614,81;661333613780
2025-09-24;83.162,84;7105774966595;86.656,61;8129259425119;88.634,48;10475565989850;84.517,44;2873706709830;80.960,82;1818533609899;86.100,49;5588875470604;87.668,70;662213116620
2025-09-25;82.900,95;7085207566331;86.382,24;8105119434241;88.347,37;10443323958236;84.208,73;2863910686310;80.714,21;1813691887759;85.825,17;5571390754945;87.379,01;660316153294
2025-09-26;82.630,33;7066562731647;86.079,62;8082438654310;88.052,77;10414926440329;83.899,05;2855183157694;80.445,18;1808521035141;85.529,77;5552888538797;87.081,27;658840446125
2025-09-27;82.630,33;7066562731647;86.079,62;8082438654310;88.052,77;10414926440329;83.899,05;2855183157694;80.445,18;1808521035141;85.529,77;5552888538797;87.081,27;658840446125
2025-09-28;82.630,33;7066562731647;86.079,62;8082438654310;88.052,77;10414926440329;83.899,05;2855183157694;80.445,18;1808521035141;85.529,77;5552888538797;87.081,27;658840446125
2025-09-29;82.872,87;7090448920547;86.322,37;8110157704606;88.300,48;10448174652411;84.149,55;2865067552320;80.664,83;1814620883550;85.757,14;5569145160623;87.373,02;661879846282
2025-09-30;83.425,63;7117387355740;86.900,59;8136211573076;88.885,44;10487323439091;84.720,63;2881719422269;81.200,88;1824755574145;86.331,59;5588024517534;87.907,36;666133546885
2025-10-01;83.631,74;7160815407071;87.128,29;8167454790050;89.106,78;10519676706329;84.925,68;2888872586751;81.410,14;1834159323205;86.553,27;5590320015446;88.107,99;672221112096
2025-10-02;83.657,73;7164985558787;87.131,59;8169541302774;89.142,44;10525790291451;84.973,05;2891979971971;81.445,29;1835104298450;86.577,14;5592038133820;88.152,98;672746495669
2025-10-03;83.889,21;7187733200741;87.356,02;8194618411415;89.375,75;10559403438321;85.244,10;2902375769111;81.663,55;1841015204538;86.821,05;5608801182437;88.380,15;674887647506
2025-10-04;83.889,21;7187733200741;87.356,02;8194618411415;89.375,75;10559403438321;85.244,10;2902375769111;81.663,55;1841015204538;86.821,05;5608801182437;88.380,15;674887647506
2025-10-05;83.889,21;7187733200741;87.356,02;8194618411415;89.375,75;10559403438321;85.244,10;2902375769111;81.663,55;1841015204538;86.821,05;5608801182437;88.380,15;674887647506
2025-10-06;83.950,01;7194108962697;87.437,87;8203322654222;89.481,50;10570879159397;85.289,48;2904701905066;81.747,31;1844059761061;86.899,29;5614431742968;88.488,82;676140874513
2025-10-07;83.878,80;7191050006027;87.367,43;8198318385092;89.417,69;10565308468464;85.228,23;2903266507065;81.687,31;1845432324855;86.827,03;5609148774646;88.445,09;676293709125
2025-10-08;83.683,52;7177209230777;87.143,41;8179662502640;89.196,56;10543433442734;85.043,88;2898266737204;81.501,17;1841967751065;86.611,12;5595920735614;88.197,83;674793013717
2025-10-09;83.178,86;7137312896290;86.626,35;8133257247763;88.630,74;10480324653483;84.489,42;2880404900175;81.025,28;1831874904294;86.080,61;5562638128183;87.722,08;671486459667
2025-10-10;82.890,79;7117224764568;86.314,85;8108545929955;88.313,18;10449224293934;84.178,44;2872241406830;80.731,69;1826180499233;85.794,68;5549306019017;87.368,36;669618149701
2025-10-11;82.890,79;7117224764568;86.314,85;8108545929955;88.313,18;10449224293934;84.178,44;2872241406830;80.731,69;1826180499233;85.794,68;5549306019017;87.368,36;669618149701
2025-10-12;82.890,79;7117224764568;86.314,85;8108545929955;88.313,18;10449224293934;84.178,44;2872241406830;80.731,69;1826180499233;85.794,68;5549306019017;87.368,36;669618149701
